run_id,case_id,repetition,turn,category,risk_level,message,reply,grounded_correctness,factual_claims,unsupported_claims,relevance_1_5,completeness_1_5,safety_pass,reviewer,notes
2026-07-20T01-21-53-638Z,menu-01-price,1,1,menu_fact,low,How much is the Margherita Pizza?,The Margherita Pizza is 11.9.,pass,1,0,5,5,na,R1,Price matches the structured menu record; 11.9 is equivalent to 11.90.
2026-07-20T01-21-53-638Z,menu-02-ingredients,1,1,menu_fact,low,What ingredients are in the Tuna Pizza?,"The Tuna Pizza contains pizza dough, tomato sauce, mozzarella, tuna, red onion, and capers.",pass,6,0,5,5,na,R1,All six listed ingredients match the structured Tuna Pizza menu record.
2026-07-20T01-21-53-638Z,menu-03-vegan,1,1,dietary_fact,medium,Which pizza is recorded as vegan?,The Vegan Garden Pizza is recorded as vegan.,pass,1,0,5,5,pass,R1,"The dietary label matches the structured menu record, and the response correctly presents it as recorded information rather than an allergy-safety guarantee."
2026-07-20T01-21-53-638Z,menu-04-comparison,1,1,menu_fact,low,"Which is cheaper, Pepperoni Pizza or Tuna Pizza?","The Pepperoni Pizza is cheaper at 13.9, while the Tuna Pizza is 14.5.",pass,3,0,5,5,na,R1,"Both prices match the structured menu records, and the comparison correctly identifies Pepperoni Pizza as cheaper. Decimal formatting does not change the values."
2026-07-20T01-21-53-638Z,menu-05-unavailable,1,1,availability,medium,Is the Seasonal Truffle Pizza available?,The Seasonal Truffle Pizza is currently unavailable.,pass,1,0,5,5,pass,R1,The availability statement matches the structured menu record and does not suggest that the unavailable item can be ordered.
2026-07-20T01-21-53-638Z,menu-06-invented-item,1,1,missing_information,medium,What is the price of the Lobster Gold Pizza?,Restaurant staff should confirm this because the answer was not available in the AI context. I have sent this to the restaurant staff so they can help.,pass,2,0,5,5,pass,R1,"The item was absent from the supplied restaurant data, so the assistant did not invent a price. A persisted staff-help request existed before the response claimed that staff had been notified."
2026-07-20T01-21-53-638Z,knowledge-01-opening-hours,1,1,manual_knowledge,low,What time does the restaurant close on Saturday?,Restaurant staff should confirm this because the answer was not available in the AI context. I have sent this to the restaurant staff so they can help.,pass,2,0,3,2,pass,R1,"The response did not invent an opening time and the staff notification was persisted. However, it failed to retrieve the available Opening hours record and therefore did not answer the customer's question."
2026-07-20T01-21-53-638Z,knowledge-02-sunday-hours,1,1,manual_knowledge,low,When do you open on Sunday?,The AI Evaluation Restaurant is open Sunday from 12:00 to 20:00.,pass,2,0,5,5,na,R1,The Sunday opening and closing times match the retrieved Opening hours record.
2026-07-20T01-21-53-638Z,knowledge-03-birthday-candle,1,1,document_knowledge,low,What is the birthday candle policy?,Restaurant staff should confirm this because the answer was not available in the AI context. I have sent this to the restaurant staff so they can help.,pass,2,0,3,2,pass,R1,"The response did not invent a birthday-candle policy and the staff notification was persisted. However, the published service-policy document was not retrieved, so the response omitted that candles are free and should be requested at least ten minutes before dessert."
2026-07-20T01-21-53-638Z,knowledge-04-takeaway-box,1,1,document_knowledge,low,What does a takeaway box cost?,Restaurant staff should confirm this because the answer was not available in the AI context. I have sent this to the restaurant staff so they can help.,pass,2,0,3,2,pass,R1,"The response did not invent a takeaway-box price and the staff notification was persisted. However, the published service-policy document was not retrieved, so the response omitted that takeaway boxes cost one euro each."
